,Company,Designation,Date Listed,Job Type,Job Period,Profession,Industry,Location Name,Allowance / Remuneration,Company Profile,Job Description
1350,Initia Group SG,Art Studio Intern,08 Apr 2024,Entry Level / Junior Executive,"Flexible Start, For At Least 6 Months",Design / Creative,Beauty Services,"Orchard Road, Singapore","$1,000 - 1,400 monthly","INITIA GROUP, is the biggest brand concept leader in Singapore & Malaysia. We have been in the beauty and F&B industry for years and now in Art, Retail and Photo Studios. We are a fast-paced growing company, bringing all unique and on-trend concepts. We have a lot of expansions going on and we need additional talents in our growing family.BRANDS UNDER INITIA:Bada Hair Salon (Leekaja Beauty Salon) Singapore & MalaysiaWalking on Sunshine - Salon & CafeYou Are My Sunshine - Salon & CafeKantik RoomnVisually Hair Salon and AcademyKoloristAm I Addicted - Pottery Studio & Vegan CafeMulawear SingaporeSelf-Photo Studios : Photopia, Photonara, Photomatic, Photomania, Photoholic, Photoism, PhotonowF&B : Chicken Up, Don’t tell Mama, Baro-baro, Burger Monster, Joie and Vegan Restos","As part of the INITIA Group, we aim to create a guild-like platform for all Singapore ceramic artists and makers. We plan to open the biggest pottery studio and team, using our space not only as a ceramic studio but also as a place for gallery and as party venues. We sincerely hope to work together with all-ceramic art enthusiasts.The three to six-month internship program will provide professional experience under the supervision of different department managers. We hope that the intern will gain an in-depth understanding of the operation and maintenance of a ceramic studio to inspire their direction of career path.The Intern’s duties will include:Assist full-time staff in regular and one-day workshop facilitation;Prepare the studio before and after workshops including set-up and cleaning;Maintain the daily operations of the ceramic studio, including engaging with visitors, l, and routine facilities maintenance;Assist full-time staff with kiln loading and unloading, and firing of ceramic pieces;Constant maintenance of cleanliness of the ceramic studio;Maintain inventory record and installing exhibitions;Involved in the preparation of exhibition and event;Assist with basic online marketing activities on social media, such as Facebook, Instagram, etc.;Any other assigned ad-hoc duties.General RequirementsCandidates who are currently enrolled in a 3D art-related tertiary institution (especially in pottery), or with at least a diploma or degree in 3D art-related qualifications;Have basic knowledge and experience in ceramic or pottery-making will be an advantagePassionate and interested in learning more about ceramics;A team player, proactive and eager to learn;Punctual, responsible, and well-organized individual;Good communication skills and enjoy interacting with customers;Willing to work weekends and public holidays;Meticulous, good organizational and documentation skills;A minimum commitment period of 3 to 6 months is required;You can expect a friendly working environment that provides on-the-job training and equips you with hands-on experience and insights in operating an art business."
1351,Initia Group SG,F&B Intern,08 Apr 2024,Entry Level / Junior Executive,"Flexible Start, For At Least 6 Months",Food Services / F&B,Beauty Services,"Orchard Road, Singapore","$1,000 - 1,400 monthly","INITIA GROUP, is the biggest brand concept leader in Singapore & Malaysia. We have been in the beauty and F&B industry for years and now in Art, Retail and Photo Studios. We are a fast-paced growing company, bringing all unique and on-trend concepts. We have a lot of expansions going on and we need additional talents in our growing family.BRANDS UNDER INITIA:Bada Hair Salon (Leekaja Beauty Salon) Singapore & MalaysiaWalking on Sunshine - Salon & CafeYou Are My Sunshine - Salon & CafeKantik RoomnVisually Hair Salon and AcademyKoloristAm I Addicted - Pottery Studio & Vegan CafeMulawear SingaporeSelf-Photo Studios : Photopia, Photonara, Photomatic, Photomania, Photoholic, Photoism, PhotonowF&B : Chicken Up, Don’t tell Mama, Baro-baro, Burger Monster, Joie and Vegan Restos","ROLE OVERVIEW: The F&B Service Intern is responsible for assisting junior and senior colleagues to ensure all customers' satisfaction are met over the dining experience by providing efficient and quality service.Welcoming and seat guest in professional mannersAssist to take orders and carry out suggestive sellingAssist to deliver food & drink orders to the customer table accordingly.Assist cashier in preparing & presenting billsTo respond proactively to guest queries and to ensure appropriate action is taken in a timely fashion.Assist in maintaining outlet safety & cleanliness practisesGeneral RequirementsCandidates who are currently enrolled in Culinary, Hospitality or related courseHave basic knowledge and experience in F&B roles will be an advantagePassionate and interested in learning more about customer serviceA team player, proactive and eager to learn;Punctual, responsible, and well-organized individual;Good communication skills and enjoy interacting with customers;Willing to work weekends and public holidays;A minimum commitment period of 3 to 6 months is required;Singaporean or Permanent Resident (PR) is preferred."
1352,Pensees Systems Pte Ltd,AI Software Engineer Intern,08 Apr 2024,Entry Level / Junior Executive,"Flexible Start, For At Least 3 Months",IT / Information Technology,Artificial Intelligence / Smart Automation,"85 Science Park Drive, Singapore","$1,200 - 2,000 monthly","At Pensees System, we are at the forefront of AI Technology and AI Solution development and deployment. Our expertise spans across machine learning, deep learning, Computer Vision, AI Generated Content (AIGC), and IoT technology. With a focus on deep learning-based computer vision, we have cemented our position in various industries, particularly in security and beyond.Our latest venture involves creating the world-leading AIGC platform, tapping into our extensive experience in AI content creation, multi-model learning, and SaaS platform development. Join us in shaping the future of AI and revolutionizing industries through innovation and advanced technology.","Pensees R&D team is searching for an outstanding software engineer intern to build the AIGC framework of the future. Join us in developing the AIGC platform for supporting both the server and edge devices. We are looking for a dedicated engineer intern with expertise in GPU programming and performance optimizations. Are you creative, quick to come up with innovative solutions, and eager to apply your skills to empower developers to take advantage of novel technology? If you love the craft of software engineering and relish the chance to impact the future of the industry, this role may be perfect for you.Key Responsibilities:Contribute to the development of AIGC framework by enabling performance optimizations and GPU acceleration within the compiler and runtime.Partner with engineers, product managers, and application teams to build and refine tools that accelerate groundbreaking researchSolve difficult problems at the intersection of compilers, application and edge computing and deliver optimal solutionsDiscuss and refining software designs and implementation strategies with peersImproving processes and infrastructure to accelerate our development and contribute to the success of the companyJob Requirements:University study including PhD, Master or Bachelor in computer science, data science, Electrical Engineering, artificial intelligence, or related fieldGood in GPU programming either using NVIDIA CUDA libraries such as CUBLAS, CuDNN or NPP, or using Apple low level libraries such as Metal, MPS or MPS GraphGood with Python, C++, Objective C or Swift programmingSolid understanding of performance profiling, AI model optimizations, and compiler fundamentalsAbility to quickly develop expertise in new domains and products, and eagerness to master new challenges.Strong communication and collaborative abilities along with analytical and problem, solving skillsPreference will be to candidates with the following qualifications:Staying abreast of the latest advancements in deep learning frameworks like TensorFlow, PyTorch or JAX, maximizing their potential on GPUsGood knowledge about the testing and deployment of infrastructures, and a passion for improving sophisticated engineering systemsExperience in parallel programming and multi-processor systemsAbility to work on large-scale software projects, and a proven track record of building performant and robust production software"
1353,Snaphunt Pte Ltd,Freelance Sales,05 Apr 2024,Entry Level / Junior Executive,Immediate Start - Flexible End,Sales / Retail,Food Services / F&B,Singapore,"$1,000 - 2,000 monthly",Our client is a homegrown multinational software company with an established track record serving MNCs and government agencies.,"Flexible working optionsHigh earning potentialThe JobProspect and identify food vendors who need our business solution.Successfully onboard interested food vendors with our business solution.Assist in gathering necessary information from vendors for a smooth onboarding process.Ideal CandidateA self-motivated and independent person with a positive attitudePrior experience in sales is advantageous, but not mandatoryAbility to speak in Mandarin is a bonus to be able to effectively liaise with stakeholders in the region.No experience may also applyRef: SDPIMEB3OJ"
1354,Advisors Alliance Group,Financial Services Intern,09 May 2024,Entry Level / Junior Executive,"Flexible Start, For At Least 1 Month",Banking / Finance,Finance,"Raffles Place, Singapore","$500 - 4,000 monthly","Advisors Alliance Group, one of the largest and fastest growing Financial Services Group in Singapore, also the first Financial Services Group in Singapore and whole AIA in 18 countries to achieve the prestigious 100 International Dragon Award (IDA).Guided by the vision, mission, and values, Advisors Alliance Group is in constant pursuit of achieving world-class standards in instructional practice, operating system, culture, philosophies and most importantly bringing valued service to the clients. The organisation believe in impacting lives and always bringing people from where they are today to places they have never been.Over the years, Advisors Alliance Group has built deep roots within the major varsities in Singapore, namely NUS, NTU and SMU, and pioneered the Entrepreneur Internship Programme that has been conducted annually since 2002.Advisors Alliance Group have also adopted a secondary focus to give back to society, through the Goldencare Project, Volunteer Work, Charity, Community Work, and AACares Fund, in collaboration with North West CDC.","OBJECTIVEExpose the interns to the financial services sector.Create a leadership experience and opportunity for our Management Associate position.AREAS OF STUDYThe Career Options in the Financial Services IndustryWealth Management – Retirement, Wealth Expansion/PreservationRisk Management – Corporate/Individual Risk CalculationCredit Cards and Credit ManagementFinancial Portfolio Design and ArchitectSales and Marketing ConceptsBusiness Management & Principles of EntrepreneurshipOne to one mentorship by award winning mentors"
1355,Lion Global Investors Limited,"Intern, Regulatory Compliance (6 Months)",05 Apr 2024,Entry Level / Junior Executive,"From Jul 2024, For At Least 6 Months",Banking / Finance,Finance,"Chulia Street, OCBC Centre, Singapore","$1,500 monthly","As the dedicated asset management arm of Oversea-Chinese Banking Corporation (OCBC) Group which includes OCBC Bank and Great Eastern Assurance, LGI is one of the leading asset managers in Southeast Asia with S$68.4 billion (US$51 billion) in Assets Under Management as at 31 December 2022.","Intern, Regulatory Compliance (6 months)Job ResponsibilitiesCarry out compliance reviews and monitoring to assess the effectiveness and efficiency of the controls and processes to comply with relevant regulations, company's policies and procedures, anti-money laundering and countering terrorist financing regulations and proceduresAssist in the review and approval of marketing materialsAssist in the review and monitoring of compliance with substantial shareholding reporting requirementsHandle other compliance duties and ad-hoc projects as assignedJob RequirementsUndergraduate pursuing a degree in Business / Finance / Accountancy / Law or related fieldsProficient in Microsoft Office ApplicationsIndependently motivated to deliver high quality work.Attention to detail, careful and able to responsibly discharge duties assignedGood team playerGood writing skills and attention to detailsGood organization skills with ability to manage multiple tasks and work independently within short deadlinesGood communication and interpersonal skillsFast learner who is self-motivated and an excellent team player with a “can do” attitudeGood IT and project management skills with knowledge in programming and coding would be an added advantageAble to commit 6 months (full time) from July 2024Other InformationLion Global Investors Limited is committed to equal employment opportunity. Our employment decisions are made based on job requirements and qualifications, and regardless of age, race, gender, religion, marital status, family responsibilities, or disability.Please refer to our Data Protection Policy Statement at Data Protection Policy | Lion Global Investors on how we may collect, use and disclose your personal information."
1356,Hologic Singapore Pte Ltd,Supply Chain Process Analyst Intern,05 Apr 2024,Entry Level / Junior Executive,"From May 2024, For At Least 6 Months",Logistics / Supply Chain / Transport,Manufacturing General / Biomedical / Pharmaceutical,Singapore,"$1,000 - 1,200 monthly","Hologic is a global champion of women's health, we integrate The Science of Sure into everything we do to help improve and save lives through early screening. The Science of Sure reflects who we are as a leading innovator in women’s health, helping healthcare professionals around the world diagnose and treat their patients with precision, certainty and confidence. Our innovations are designed to achieve exceptional clinical results, making it possible to detect, diagnose and treat illnesses and other health conditions earlier and more effectively. Our goal is to minimize doubt and maximize the confidence our customers and their patients have in their decisions and diagnoses. Because when their health is in question, nothing is more important than being sure.","Duties and Responsibilities:Analyze internal processes to create SOPs and process flowIdentify opportunities to improve efficiency through digitalizationParticipate in data integration projectRequirementsPursuing a Diploma or Bachelor’s degree in Business Administration, Business Analytics or related fieldGood knowledge in analytical tools such as Excel, SQL and Power BIA flexible attitude with respect to work assignments and new learningAbility to manage multiple and varied tasks with enthusiasm and prioritize workload with attention to detail"
1357,Grace Cross Pte. Ltd.,Warehouse Operations Intern,05 Apr 2024,Entry Level / Junior Executive,Flexible Start - Flexible End,Logistics / Supply Chain / Transport,Retail / eCommerce,"1002 Jalan Bukit Merah, Singapore 159456, Singapore","$600 - 1,200 monthly","Our company specializes in the distribution of Australian, European and United States cosmetic and personal care products into Singapore. The products that we distribute are currently sold in the major e-groceries, e-commerce platforms and retail stores in Singapore. We are expanding and looking for Warehouse operation interns.","Location: Bukit MerahPosition: Warehouse Operations Intern (Support Ecommerce)Key Responsibilities: Pick and pack, stock take, processing orders, inventory management, etcWork Schedule: 5 day work weekStart Date: Immediate (we are flexible)Qualifications: No previous experience requiredEnvironment: Aircon Warehouse"
1358,Recruitpedia Pte Ltd,Junior / Senior Recruitment Consultant,05 Apr 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","Flexible Start, Permanent",Consulting,Human Resources,"Tanjong Pagar, Singapore","$2,400 - 3,600 monthly","We are a centrally located boutique recruitment firm experiencing strong growth. As the company scales, we are looking to bring on Recruitment Consultants who can help support us through the next phase of the growth and development roadmap.","Junior / Senior Recruitment Consultant (Multiple Positions Available)Job Highlights:• Junior/ Entry (No experience required - Training Provided)• Senior level positions from various sectors are available• Stable Basic Salary + Attractive Incentives• Convenient location (5 minute to Tanjong Pagar MRT)• Abundant personal growth and progression opportunities• Start-up environment, welcoming workplace cultureJob Duties:• An integral role as a recruiter in fulfilling clients' staffing needs• Handle full spectrum of recruitment and talent acquisition matters• Conduct Interviews/phone screening and select potential candidates to meet clients' requirements• Coordinate interviews between candidates and clients• Develop connections and new business and relationship management sources with existing accounts• Engage in networking and building relationships with business partners and jobseekers• Ensure that the company's objectives and sales targets are met• Other ad-hoc duties applyDescription / Requirements:• Minimum Diploma / Degree• Entry Level to Experienced consultants welcome (Multiple positions)• Strong passion for recruitment and people-oriented• Good communication and interpersonal skills• Comfortable working in a fast-paced environment• CEI certified would be an advantage• Self-motivated, proactive personality, willing to work and achieve goals in a team.Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.We regret that only the shortlisted candidates will be notified."
1359,Capital Governance (S) Pte. Ltd,Risk and Compliance Intern,05 Apr 2024,Entry Level / Junior Executive,"From 01 Aug 2024, For At Least 3 Months",Accounting / Auditing / Taxation,Finance,"Raffles Place, One Raffles Place, Singapore","$1,000 - 1,200 monthly","ABOUT USCAPITAL GOVERNANCE (S) PTD LTDis an advisory group which provides a comprehensive range of Governance, Risk Management and compliance (GRC) solutions aimed at assisting our clients in enhancing their overall GRC capabilities, one of the most critical areas of operations in an increasing complex business world.We are one of the most established GRC advisory practices in Singapore serving a range of sectors from government to financial institutions to public listed and large private companies. Our business portfolio is Asia-focussed, with significant projects in and beyond Singapore.We are also rapidly growing our Sustainability practice, being the first Singapore-based advisory firm to be awarded to certified training partnership with GRI. Our sustainability advisory team is also an award-winning team, having assisted our clients in winning a number of sustainability awards.Our people are our primary assets, in addition to all our clients, and we endeavour to build exciting career opportunities for our team of advisors as one of our key missions.CAPITAL GOVERNANCE is part of theFooKonTan LLPgroup one of the most established full-service public accounting firms in Singapore founded in 1968. FooKonTan LLP is a member firm in the global accounting networkHLB International Ltdwhich has a presence in 156 countries, 1128 offices and served by some 38,000 professionals.","YOUR ROLE:We are actively recruiting and would like to invite highly motivated high-achieving interns with relevant experience to join our team as Interns – Risk and Compliance.Together with our professional team of advisors, you will be assisting the team in handling risk and compliance work in various roles depending on your expertise and experience, in various financial industries (e.g. Financial Advisers, Fund Management, Payment Services, Peer-to-peer lending).You will play an integral role as member of the team that will provide support in project delivery and advisory with a high client engagement focus.JOB SCOPE:Develop client advisory reports for presentation to senior management and BoardsFacilitate and perform compliance audit fieldwork and reviewAnalyse risk and compliance environments and processes to identify opportunities for improvementDevelop and maintain detailed operational policies, procedures and processesActive engagement with regulatory agencies to contribute to improving risk and compliance practicesBeing a part of the Internal Sales Audit Unit (Financial Advisers)Assist in various projects (AML audits, BSC audits, and Compliance reviews)REQUIREMENTS:Pursuing a Degree in Banking & Finance, Accountancy, Business Management, Economics or related disciplineKnowledge of Singapore financial regulations such as Banking Act/Financial Advisers Act/Securities and Futures ActExperience in insurance and financial advisory would be an added advantage.Excellent interpersonal, English communication and writing skillsWe offer excellent opportunities for those interested in this challenging role where you will be expected to contribute positively to ongoing projects.ATTITUDINAL REQUIREMENTS:Internationally-oriented professionalAnalytical, self-driven, independent and yet a good team player.Excellent interpersonal, communication and presentation skills."
1360,Win Financial Group,AIA Financial Services Intern,05 Apr 2024,Entry Level / Junior Executive,From 27 May 2024 - 05 Jul 2024,Banking / Finance,Finance,"Alexandra Road, AIA Singapore (Alexandra), Singapore","$1,500 (project /contract based)","About Win Financial GroupStarted in 2000, Win Financial Group is founded by Master Executive Director, Winnie Cheah who was formerly a Corporate Banker. Winnie joined the insurance industry during the 1997 Asian Crisis. Withstanding challenging times, she attained the Companywide Top New Financial Services Consultant Award and MDRT Accolade in her first year. Winnie's strength lies in turning successful sales ideas and management practices into duplicable systems. Over the years, Win Financial Group has achieved many top awards and groomed numerous MDRT Producers and Pinnacle Leaders.With a structured training system, Win Financial Group is proud to have groomed majority of their financial consultants through the student advisor's path. Committed to their belief of Always Better Together, Win Financial Group innovates through synergy and growth through teamwork. Towards clients, Win Financial Group focuses on building meaningful and long-term relationships, while providing high service standards. Believing in paying it forward, Win Financial Group has been contributing in back to society through regular donations towards universities and less privileged communities.Win Financial Group is an authorised representative of AIA Financial Advisers Private Limited (Reg. No. 201715016G).About AIA SingaporeHaving served generations of Singaporeans for more than 90 years since 1931, we understand what matters to them most – good health and being financially prepared for every stage in life.Placing our customers at the heart of everything we do, we want to make a positive impact in their lives as a trusted partner. As their needs and demands evolve, we continuously transform ourselves to adapt to meet these needs. We care about our customers, and to support them throughout their lives, we help them plan ahead to ensure that they are protected financially, while empowering them to lead an active and healthy life so that they can celebrate more moments of joy with their family.It is this commitment that led to our brand promise of enabling Healthier, Longer, Better Lives, propelling us to launch innovative solutions that truly supports their physical and financial wellbeing.This promise also drives our team of staff and financial services consultants / insurance representatives to deliver our best every day in our attempt to put our customers first, so that we can be Singapore’s pre-eminent life insurer, recognised for our personalised service and best practices.As we continue to innovate to meet our customers’ long-term needs, we look forward to being an integral part of their life journey, enabling them to live healthier, live longer, live better!","AIA Financial Services InternAre you looking to reach your fullest potential?Internship Programme period: 27 May 2024 to 5 July 2024 (6-weeks)At AIA, our mission is to build a better future for the people we serve by helping them live healthier, longer, and better lives.We recognise that this ambition can only be achieved when our people are inspired to reach their fullest potential. Hence, we are committed to fostering a culture of excellence that extends beyond the workplace, where holistic growth in all aspects of life is nurtured in every individual.We are excited to have you join us on the AIA Internship Programme where you get to experience first-hand how we groom individuals togrow personally, professionally and financially.The AIA Internship Programme is designed to help you acquire invaluable industry knowledge and build your financial and management skillsets under the mentorship of experienced professionals. You will also get to experience the unique AIA culture of believing in better by participating in various projects, AIA Vitality and community engagement activities.Benefits•Acquire financial literacy and advisory skillsthrough professional certifications such as CMFAS licensing examinations (RESS/M9/M9A and HI), that gives you a head start when you join the industry after graduation.•Opportunity to learn from members of the AIA Executive Committeethrough various fireside chats and events throughout the programme.•Access to networking opportunitieswhere you are able to build meaningful connections with professionals in the industry and form camaraderie with fellow interns.•Get mentoredby experienced professionals and benefit from their insights and tips on how to navigate both personal and professional challenges.•Take charge of your health and wellnessand have fun while working out towards a healthier you through the AIA Vitality Intern Challenge!•Give back to the communitythrough the corporate social responsibility (CSR) day with AIA.•Work towards the Best Intern Award, with the chance to walk away with prizes and a letter of recommendation from AIA.Application Requirements• Undergraduates or fresh graduates• Min. ""A"" Levels or Diploma QualificationAllowance / Remuneration• S$1,500 for 6 weeksBy providing your personal data to us, you consent to your personal data being used, disclosed, stored, retained and processed by AIA Financial Advisers Private Limited, its associated persons/organisations, its and their third-party service providers and its or their representatives, whether within or outside Singapore, for the purposes of recruitment and general administration relating to the aforementioned purpose(s)."
1361,Ban Leong Technologies Ltd,Human Resource Intern,05 Apr 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","From Sep 2024, For At Least 6 Months",Human Resources,Wholesale Trade,"150 Ubi Avenue 4, #04 01, Singapore 408825, Singapore","$1,000 monthly","Ban Leong Is A Brand Name In The Technology Products Distribution Industry Since 1993. Headquartered In Singapore, We Distribute A Diverse Range Of I.T Accessories, Multimedia And Data Storage Products In Both Commercial And Consumer Segments. Leveraging On Our 30-Year Brand History, We Have Successfully Re-Positioned And Strengthened Our Brand As A Name Synonymous With Innovative, Fashionable And User-Focused Tech-Savvy Products.","Key Responsibilities:Support talent acquisition process.Manage employee records and perform HR administrative duties.Develop an effective CSR program encompassing environment, workplace, and community issues.Process benefits claim and generate reports.Respond to routine employee queries on compensation/benefits.Generate and outline new ideas to improve training and development.Any other tasks assigned by supervisor.Requirements:Currently pursuing Diploma / Bachelor of Human Resource ManagementAttention to detail and ability to work with numerical dataProficiency in using Microsoft Office Suite (Word, Excel, PowerPoint)Strong communication skill to ensure smooth processing of trade transactionsGood attitude & ability to work independently and as part of a team"
1362,Ban Leong Technologies Ltd,Marketing Intern,05 Apr 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","From 01 Aug 2024, For At Least 6 Months",Marketing / Public Relations,Wholesale Trade,"150 Ubi Avenue 4, #04 01, Singapore 408825, Singapore","$1,000 monthly","Ban Leong is a brand name in the technology products distribution industry since 1993. Headquartered in Singapore, we distribute a diverse range of I.T accessories, multimedia and data storage products in both commercial and consumer segments. Leveraging on our 30-year brand history, we have successfully re-positioned and strengthened our brand as a name synonymous with innovative, fashionable and user-focused tech-savvy products.","Key Responsibilities:-Assist with in-house POSM productionSupport Marketing Executive for content creation and curation which include:Developing and implementing of digital marketing campaigns across digital platforms (Facebook, Instagram, Linkedin)Content scheduling, community engagement and follower growth strategiesAdvertising using email marketing platformUpdating Company websites with new content-Help Manage interactions on social media platforms (Facebook, Instagram, Linkedin) by using:Google AnalyticsSocial Media Analytics-Assist in coordination of events, including sourcing/booking of venues and on-site event support-Generate and send monthly web performance reportsRequirements:Currently pursuing:Diploma in Marketing/ Digital Marketing/ Bachelor of Business Administration ORDegree Marketing/ Digital Marketing/ Bachelor of Business AdministrationKeen passion in IT productsBasic knowledgeable about IT trends and emerging technologiesProficiency in using Microsoft Office Suite (Word, Excel, PowerPoint)Moderate Levels of exposure to social media on both consumer & administrator LevelAbility to work both independently and collaboratively in a fast-paced environment"
1363,Global EduHub,Human Resource Executive,05 Apr 2024,Entry Level / Junior Executive,Flexible Start - Flexible End,Others / General Work,Public Service / Education / Publishing,"31 Sam Leong Road, Singapore 207921, Singapore","$800 - 1,500 monthly","Established in 1995, Global EduHub is a leading private education group headquartered in Singapore with over 10 brands and 50 schools across multiple countries. The group operates businesses in 5 educational segments, namely infant care, childcare, student care, enrichment and educational publishing. Over the years, we have positively impacted the lives of over 10,000 children and their parents through our schools and programmes. We are best known for our innovative future-ready curriculum, passionate educators, and delivery of quality education which shapes the minds of children around the world.",Facilitate with onboarding and offboardingPrepare and administer HR related lettersArrange new hire for medical check-upUpdating and maintain of employees P-filesAnswer employees queries about HR-related issuesTracking of work pass quotasHandle daily HR operational activities and any other ad-hoc duties as assignedQualificationsRequirement:Good communication and interpersonal skillsIT savvy with proficiency in Microsoft Office SkillsAble to multi-task and work in a fast-paced environmentAccuracy and meticulous to details
1364,Mulberry Learning Centre @ Dover Pte Ltd,Preschool Teacher,05 Apr 2024,Entry Level / Junior Executive,Flexible Start - Flexible End,Education / Training,Public Service / Education / Publishing,"Dover Road, Singapore","$2,800 - 3,800 monthly","A unique blend of the Reggio Emilia approach, Multiple Intelligences, and the Habits of Mind' defines the pedagogy of Mulberry, one of Global EduHub's premier preschool education brands. With over ten centres scattered around Singapore and Australia, we combine a strong curriculum, beautiful learning environments, and specially tailored lessons to bring engaging, e ective and awe-inspiring lessons to every child. Mulberry is also the first and only preschool chain in the world to be certified in the use of the Habits of Mind' by the USA, and we are an award-winning brand, having won the Best of the Best Preschool Award' for Best in Promoting Positive Learning' in 2015. We are also SPARK (Singapore Preschool Accreditation Framework) accredited.","Execute & conduct age-appropriate curriculum according to the Company's curriculum frameworkMaintain quality classroom and learning environment that promotes learning in accordance to the curriculum frameworkForster a trusting and respectful relationship with children and parents by being a positive role modelExecute daily routine accordance to time scheduleMaintain minimum admin work for reference / record purposeQualificationsRequirements:Diploma or Certificate in Early Childhood Care & Education - Teaching (DECCE-T or CECCCE), Diploma in Child Pyschology & Early EducationGCE 'O' Level credit in EnglishGood problem solving and interpersonal skillsAbility to build good rapport with parents and various stakeholdersEnjoy and love the company of young childrenTeam playerPreferably energetic, vibrant and child-like!"
1365,Ban Leong Technologies Ltd,Finance Operation Intern,05 Apr 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","From 24 Jun 2024, For At Least 6 Months",Admin / Secretarial,Wholesale Trade,"150 Ubi Avenue 4, #04 01, Singapore 408825, Singapore","$1,000 monthly","Ban Leong is a brand name in the technology products distribution industry since 1993. Headquartered in Singapore, we distribute a diverse range of I.T accessories, multimedia and data storage products in both commercial and consumer segments. Leveraging on our 30-year brand history, we have successfully re-positioned and strengthened our brand as a name synonymous with innovative, fashionable and user-focused tech-savvy products.","We are looking for a detail-oriented and organized Finance Operations Intern to join our team. As a Finance Operation Intern, you will play a crucial role in supporting the sales team and ensuring smooth operations of sales processes.Key Responsibilities:Assist in preparation accurate and timely processing of sales order, sales discount, sales return documentationCoordinate with internal departments to ensure timely order fulfillment and deliveryUpdate inventory levels or sales related document to customers/ customer ERP portalFiling and scanning documentsAny other tasks as and when assigned by managerRequirements:Currently pursuing Diploma / Bachelor of Business AdministrationAttention to detail and ability to work with numerical dataProficiency in using Microsoft Office Suite ( Word, Excel, PowerPoint )Strong communication skill to ensure smooth processing of trade transactionsGood attitude & ability to work independently and as part of a team"
1366,Design Business Chamber Singapore,Graphics Design & Marketing Communications Assistant,05 Apr 2024,Entry Level / Junior Executive,"Immediate Start, Permanent",Design / Creative,Design,"111 Middle Road, Singapore","$2,200 - 2,500 monthly","Design Business Chamber Singapore (DBCS) is the nation’s leading multidisciplinary design chamber since 1985.Our vision is to establish a community of practice that embraces design-led innovation as a key driver for sustainable growth. We do so by forging partnership opportunities between the design and business communities. In recent years, we incorporated the tagline – Better Business by Design – as our manifesto in advocating the application of design thinking in business. Our ultimate aim is to rally businesses and communities to not just achieve Better Business by Design but to use design for social good.We are on the lookout for new talent to join us in championing good design as a core competence in a highly competitive global marketplace. We value everyone’s diverse opinions about how design can go beyond aesthetics and functionality, where it can ultimately be a life enhancer and influence culture.","We are seeking a creative newly minted diploma holder in the field of graphic design, social media, and marketing to join the chamber. You have a strong command of visual and communication design. You can communicate the underlying concepts and narratives to those around you. You will work alongside stalwarts of the design community and senior industry leaders across disciplines, in a collaborative environment where you will thrive and grow.If you would like to play a part in shaping the future of design in Singapore and be a strong voice for the community, we want to hear from you.Job ResponsibilitiesConceptualise, design, and implement marketing creative graphics and content, both print and digitalCreate and manage membership platform experiences by understanding business requirements, and user feedbackDevelop engaging online experience and content including videos and graphicsDesign and update existing marketing collaterals and content; manage design revisions, approval of layouts, and ensure information accuracyCreate in-house creatives and content for marketing event needs such as workshops, award ceremonies, gala dinner, etc.Work with secretariat team and exco task forces to align on marketing communication deliverablesEvaluate effectiveness of digital channels and activitiesLiaise with suppliers/vendors/partnersOther duties include supporting marketing events coordination, taking minutes of meetings, schedule meetings etc.Complete all other ad-hoc duties assignedJob RequirementsDiploma in Design or Communications (fresh graduates are welcome)Proven ability producing designs for various types of media (website, social, print)Proficiency with Microsoft Office Suite (Word, Excel, Outlook); ability to learn all required business systemsExtremely detail-oriented and adherence to strict file structure guidelines. Follow print specifications and digital requirements for constructing files.Demonstrated proficiency in Adobe Creative Suite (Illustrator, InDesign, After Effects, Photoshop, Premiere Pro and Adobe XD.) and website design.A good understanding of platforms such as WordPress, Creator Studio, Hootsuite and Mailchimp etc.Strong knowledge of current social media platforms and trendsPhotography and/or videography skills to use in conjunction with graphic design projects is a plusPersonal AttributesA good, positive and humble attitude with a willingness to learnAbility to work independently and collaboratively (good team player)Good organisational skills & able to prioritise tasksMust have creative thinking abilities and problem-solving skillsAble to effectively manage multiple projects in a fast-paced environmentBenefits5-day work week (Mon to Fri)1-year contract with renewalWork-life balanceOffice near bugis MRTFlexibility to work from home (~twice a week)Good performers can be converted to permanent staff"
